Year,Rank,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
2020,1,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
2020,2,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042
2020,3,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971
2020,4,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941
2020,5,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977
2020,6,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048
2020,7,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037
2020,8,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05
2020,9,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004
2020,10,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
2020,11,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962
2020,12,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998
2020,13,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013
2020,14,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027
2020,15,0.843,0.741,11,-5.609,1,0.334,0.0252,0.0,0.096,0.68,168.983
2020,16,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735
2020,17,0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986
2020,18,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006
2020,19,0.769,0.719,8,-5.472,1,0.0474,0.0143,0.00777,0.359,0.863,121.955
2020,20,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39
2020,21,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881
2020,22,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085
2020,23,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991
2020,24,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073
